iter	Passed	Remaining
0	158	158231
1	160	79848
2	161	53734
3	163	40624
4	164	32738
5	166	27502
6	167	23791
7	169	21008
8	171	18831
9	172	17085
10	174	15657
11	175	14450
12	176	13423
13	178	12538
14	179	11788
15	181	11134
16	182	10546
17	183	10030
18	185	9570
19	186	9151
20	188	8787
21	190	8467
22	192	8198
23	194	7908
24	195	7638
25	197	7391
26	198	7165
27	200	6961
28	202	6771
29	203	6579
30	204	6404
31	206	6241
32	207	6080
33	208	5930
34	210	5792
35	211	5665
36	212	5538
37	214	5420
38	215	5306
39	217	5210
40	218	5108
41	219	5011
42	220	4918
43	222	4835
44	224	4753
45	225	4670
46	226	4589
47	227	4512
48	228	4436
49	230	4373
50	231	4315
51	233	4265
52	235	4201
53	236	4139
54	237	4080
55	238	4021
56	239	3965
57	240	3911
58	242	3861
59	243	3812
60	244	3770
61	246	3723
62	247	3679
63	248	3635
64	249	3594
65	251	3555
66	252	3515
67	253	3469
68	254	3432
69	255	3396
70	256	3361
71	258	3329
72	260	3303
73	261	3271
74	262	3239
75	263	3209
76	265	3178
77	266	3149
78	267	3120
79	268	3091
80	270	3064
81	271	3039
82	273	3016
83	274	2993
84	275	2966
85	277	2949
86	278	2921
87	279	2897
88	280	2873
89	282	2853
90	283	2831
91	284	2809
92	285	2786
93	287	2768
94	289	2759
95	290	2739
96	291	2717
97	293	2697
98	294	2678
99	295	2659
100	296	2641
101	297	2617
102	298	2598
103	299	2579
104	300	2563
105	302	2547
106	303	2529
107	304	2515
108	305	2498
109	306	2482
110	308	2467
111	309	2452
112	310	2438
113	311	2424
114	313	2409
115	314	2394
116	315	2381
117	316	2368
118	318	2355
119	319	2343
120	321	2334
121	322	2323
122	323	2306
123	324	2293
124	325	2281
125	327	2270
126	328	2258
127	329	2244
128	330	2231
129	331	2219
130	332	2207
131	334	2198
132	335	2186
133	336	2174
134	338	2165
135	339	2155
136	340	2146
137	341	2134
138	343	2124
139	344	2114
140	345	2104
141	346	2093
142	347	2082
143	349	2075
144	350	2067
145	352	2062
146	353	2053
147	355	2045
148	356	2036
149	357	2027
150	359	2018
151	360	2009
152	361	2000
153	371	2040
154	373	2034
155	374	2027
156	376	2021
157	377	2014
158	379	2007
159	381	2002
160	382	1995
161	384	1986
162	385	1978
163	386	1969
164	387	1961
165	389	1954
166	390	1946
167	391	1939
168	392	1931
169	393	1923
170	395	1916
171	397	1911
172	399	1907
173	405	1924
174	406	1918
175	408	1912
176	411	1911
177	412	1906
178	414	1900
179	416	1895
180	416	1885
181	418	1878
182	419	1872
183	421	1867
184	422	1862
185	424	1856
186	425	1851
187	427	1846
188	429	1842
189	430	1837
190	432	1833
191	441	1858
192	443	1853
193	445	1850
194	446	1844
195	448	1839
196	449	1833
197	451	1828
198	452	1823
199	454	1817
200	456	1814
201	458	1810
202	460	1806
203	461	1800
204	462	1795
205	464	1789
206	465	1784
207	467	1779
208	469	1775
209	470	1771
210	472	1766
211	473	1760
212	475	1755
213	476	1750
214	478	1745
215	479	1740
216	480	1735
217	482	1730
218	483	1725
219	485	1721
220	487	1718
221	489	1714
222	491	1711
223	492	1706
224	493	1700
225	494	1695
226	496	1689
227	497	1683
228	498	1678
229	499	1673
230	502	1671
231	503	1666
232	504	1661
233	506	1657
234	509	1657
235	510	1651
236	511	1646
237	512	1640
238	513	1635
239	514	1629
240	516	1625
241	517	1620
242	518	1615
243	523	1623
244	525	1618
245	526	1613
246	527	1607
247	528	1602
248	529	1597
249	531	1594
250	534	1594
251	536	1591
252	538	1591
253	540	1586
254	541	1580
255	542	1575
256	543	1570
257	544	1565
258	545	1560
259	547	1556
260	548	1552
261	549	1546
262	550	1541
263	551	1536
264	552	1531
265	553	1526
266	554	1522
267	555	1517
268	556	1512
269	557	1507
270	559	1503
271	560	1499
272	561	1495
273	562	1490
274	563	1486
275	564	1482
276	566	1477
277	567	1472
278	568	1468
279	569	1464
280	570	1459
281	571	1455
282	573	1452
283	574	1449
284	576	1445
285	579	1446
286	580	1442
287	581	1438
288	583	1434
289	584	1430
290	585	1426
291	586	1422
292	588	1418
293	589	1415
294	590	1412
295	592	1408
296	593	1405
297	594	1401
298	595	1397
299	596	1392
300	598	1388
301	599	1384
302	600	1380
303	601	1376
304	602	1372
305	603	1369
306	604	1365
307	605	1361
308	606	1357
309	608	1353
310	609	1349
311	610	1345
312	611	1341
313	612	1337
314	613	1334
315	614	1330
316	615	1326
317	616	1322
318	617	1319
319	619	1315
320	620	1311
321	621	1308
322	622	1305
323	624	1302
324	625	1299
325	626	1296
326	628	1292
327	629	1289
328	630	1286
329	631	1282
330	632	1279
331	633	1275
332	634	1271
333	636	1269
334	637	1265
335	638	1262
336	639	1258
337	640	1255
338	642	1252
339	643	1248
340	644	1246
341	646	1243
342	647	1240
343	648	1236
344	649	1233
345	650	1230
346	652	1227
347	653	1224
348	654	1221
349	656	1218
350	657	1215
351	658	1212
352	660	1209
353	661	1207
354	662	1203
355	663	1200
356	664	1196
357	665	1193
358	666	1190
359	668	1189
360	669	1185
361	671	1182
362	672	1179
363	673	1176
364	674	1173
365	675	1170
366	676	1167
367	677	1164
368	678	1160
369	679	1157
370	681	1154
371	682	1152
372	683	1148
373	684	1145
374	685	1142
375	686	1140
376	688	1137
377	689	1134
378	690	1131
379	691	1127
380	692	1124
381	693	1121
382	694	1118
383	695	1115
384	696	1113
385	698	1110
386	699	1107
387	700	1104
388	701	1102
389	703	1099
390	704	1096
391	705	1093
392	706	1090
393	707	1087
394	708	1084
395	709	1082
396	710	1079
397	711	1076
398	713	1074
399	714	1071
400	716	1069
401	717	1066
402	718	1064
403	719	1061
404	720	1058
405	721	1055
406	722	1052
407	723	1050
408	724	1047
409	725	1044
410	726	1041
411	728	1039
412	729	1037
413	730	1034
414	732	1032
415	733	1029
416	734	1026
417	735	1024
418	736	1021
419	737	1018
420	739	1016
421	740	1013
422	741	1011
423	742	1008
424	743	1006
425	744	1003
426	745	1001
427	747	998
428	748	995
429	749	993
430	750	990
431	751	987
432	752	985
433	753	982
434	754	979
435	755	977
436	756	974
437	758	973
438	759	971
439	760	968
440	762	966
441	763	963
442	764	960
443	765	958
444	766	955
445	767	953
446	768	950
447	769	948
448	770	945
449	772	944
450	774	943
451	776	941
452	777	939
453	779	937
454	780	934
455	781	932
456	782	929
457	783	927
458	784	925
459	786	922
460	787	920
461	788	918
462	790	916
463	791	914
464	792	911
465	793	909
466	794	907
467	795	904
468	797	902
469	798	899
470	799	897
471	800	895
472	801	893
473	803	891
474	804	889
475	805	886
476	806	884
477	808	882
