iter	Passed	Remaining
0	156	156315
1	157	78657
2	158	52686
3	159	39673
4	160	31871
5	161	26706
6	162	23071
7	164	20342
8	164	18140
9	165	16387
10	166	14984
11	167	13776
12	167	12748
13	168	11865
14	169	11102
15	169	10432
16	170	9846
17	170	9325
18	171	8861
19	172	8440
20	172	8059
21	173	7711
22	176	7517
23	178	7259
24	180	7027
25	180	6779
26	181	6546
27	182	6328
28	183	6128
29	183	5943
30	184	5768
31	185	5602
32	185	5447
33	186	5304
34	189	5211
35	190	5088
36	190	4969
37	191	4849
38	192	4737
39	192	4628
40	193	4524
41	193	4424
42	194	4330
43	195	4239
44	195	4153
45	196	4070
46	196	3993
47	197	3918
48	198	3847
49	198	3779
50	199	3712
51	201	3674
52	202	3615
53	203	3557
54	203	3502
55	204	3449
56	205	3401
57	206	3348
58	206	3298
59	207	3248
60	207	3200
61	208	3154
62	209	3111
63	209	3068
64	210	3027
65	211	2987
66	211	2947
67	212	2910
68	213	2874
69	213	2837
70	214	2802
71	214	2770
72	215	2740
73	216	2709
74	217	2678
75	217	2647
76	218	2616
77	218	2586
78	219	2557
79	219	2529
80	220	2501
81	221	2474
82	221	2445
83	221	2419
84	222	2394
85	223	2370
86	223	2346
87	224	2322
88	224	2300
89	225	2277
90	225	2256
91	226	2234
92	226	2213
93	227	2193
94	228	2173
95	228	2153
96	229	2133
97	229	2116
98	230	2100
99	231	2083
100	232	2067
101	232	2050
102	233	2033
103	234	2016
104	234	2000
105	235	1984
106	235	1968
107	236	1952
108	237	1937
109	237	1922
110	238	1908
111	238	1893
112	239	1878
113	239	1864
114	240	1852
115	241	1839
116	241	1824
117	242	1811
118	242	1798
119	243	1785
120	243	1772
121	245	1765
122	246	1757
123	247	1748
124	248	1739
125	250	1734
126	251	1725
127	251	1715
128	252	1703
129	253	1693
130	253	1683
131	254	1672
132	254	1661
133	255	1650
134	256	1640
135	256	1630
136	257	1622
137	258	1616
138	259	1608
139	260	1600
140	261	1591
141	261	1581
142	262	1572
143	263	1564
144	263	1555
145	264	1546
146	265	1537
147	265	1528
148	266	1520
149	266	1511
150	267	1502
151	267	1494
152	268	1486
153	269	1477
154	269	1469
155	270	1461
156	270	1453
157	271	1445
158	271	1438
159	272	1430
160	272	1421
161	273	1415
162	274	1408
163	274	1401
164	275	1394
165	276	1387
166	276	1380
167	277	1373
168	278	1367
169	278	1360
170	279	1353
171	279	1347
172	280	1340
173	280	1333
174	281	1326
175	282	1320
176	282	1313
177	283	1307
178	283	1300
179	284	1294
180	284	1288
181	285	1283
182	286	1277
183	286	1271
184	287	1266
185	288	1260
186	289	1260
187	290	1254
188	291	1249
189	291	1243
190	292	1238
191	292	1233
192	293	1227
193	294	1222
194	294	1216
195	295	1211
196	295	1205
197	296	1201
198	297	1195
199	297	1190
200	298	1186
201	299	1181
202	299	1176
203	300	1171
204	300	1166
205	301	1160
206	301	1155
207	302	1150
208	302	1145
209	303	1141
210	304	1137
211	304	1132
212	305	1128
213	305	1123
214	306	1119
215	307	1114
216	307	1109
217	308	1105
218	308	1100
219	309	1095
220	309	1091
221	310	1086
222	310	1082
223	311	1078
224	311	1073
225	312	1069
226	312	1065
227	313	1061
228	314	1057
229	314	1053
230	315	1049
231	315	1045
232	316	1041
233	316	1037
234	317	1033
235	318	1030
236	319	1029
237	320	1026
238	321	1023
239	322	1020
240	323	1017
241	323	1013
242	324	1010
243	324	1006
244	325	1002
245	326	1000
246	326	996
247	327	993
248	328	989
249	328	985
250	329	982
251	329	978
252	330	974
253	330	971
254	331	967
255	331	964
256	332	961
257	333	958
258	334	955
259	334	952
260	335	949
261	335	945
262	336	942
263	336	939
264	337	935
265	337	932
266	338	929
267	339	926
268	339	923
269	340	920
270	341	917
271	341	914
272	342	911
273	342	907
274	343	904
275	343	901
276	344	898
277	344	895
278	345	892
279	345	889
280	346	886
281	346	883
282	347	880
283	348	877
284	348	875
285	349	872
286	350	869
287	350	866
288	351	863
289	351	861
290	352	858
291	352	855
292	353	852
293	353	849
294	354	847
295	355	844
296	355	841
297	356	838
298	356	836
299	357	833
300	357	830
301	358	828
302	358	825
303	359	822
304	359	819
305	360	817
306	360	814
307	361	811
308	361	809
309	362	806
310	363	804
311	363	802
312	364	799
313	364	797
314	365	794
315	366	792
316	366	789
317	367	787
318	367	785
319	368	783
320	369	781
321	369	778
322	370	776
323	370	773
324	371	771
325	371	769
326	372	766
327	373	764
328	373	762
329	374	759
330	374	757
331	375	754
332	375	752
333	376	750
334	376	747
